id,Slug,title,Description,Lab description,Html description,Html lab description
13,classic-diamond-bracelet-d-s017,Classic Diamond Bracelet | D_S017,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,Chagne This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,This contemporary take on a classic diamond bracelet features 1.90ct of round brilliant cut diamonds in hexagonal settings to give a modern look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
14,classic-diamond-bracelet-round-cut-ds013,Classic Diamond Bracelet | Round Cut | DS013,"This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Change This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We alsChao offer the earring to match. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Colour G-H Clarity SI. Please call for prices in Platinum</p><p></p>","<p>This contemporary take on a classic diamond bracelet features 2.70ct of round brilliant cut diamonds graduating in size towards the centre, truly elegant. We also offer the earring to match. Diamond Color D-E Clarity VVS. Please call for prices in Platinum</p><p></p>"
15,diamond-bracelet-d-s028,Diamond Bracelet | D_S028,Mined The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Clarity G-H SI. Please call for prices in Platinum.,Change lab The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Clarity G-H SI. Please call for prices in Platinum.,The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
16,diamond-bracelet-trilogy-style-d-s006,Diamond Bracelet | Trilogy Style | D_S006,This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,Change The irresistible show of bracelet looks bigger than a normal bracelet. The diamond is set within gold surrounds to give a bigger look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,<p>This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>,<p>This beautiful bracelet design features diamonds grouped together in a trilogy style. Total diamond weight: 1.90ct. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>
17,diamond-drop-earrings-round-cut-d-s001,Diamond Drop Earrings | Round Cut | D_S001,"These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These stunning diamond drop earrings feature 0.66ct of round brilliant cut diamonds grouped in fours, really adding that extra sparkle. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
18,diamond-drop-earrings-round-cut-d-s016,Diamond Drop Earrings | Round Cut | D_S016,These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,<p>These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>,<p>These beautiful diamond drop earrings feature two rows of round brilliant cut diamonds totaling 0.50ct giving a very classic look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>
19,diamond-earrings-emerald-cut-stud-d-s026,Diamond Earrings | Emerald Cut Stud | D_S026,"Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these emerald cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
20,diamond-earrings-flower-arrangement-d-s002,Diamond Earrings | Flower Arrangement | D_S002,"These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These beautiful earrings feature 0.67ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching pendant. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
21,diamond-earrings-pear-cut-stud-d-s024,Diamond Earrings | Pear Cut Stud | D_S024,"Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>Simply stunning, these pear cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
22,diamond-earrings-princess-cut-d-s022,Diamond Earrings | Princess Cut | D_S022,"Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>Simply stunning, these princess cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
23,diamond-earrings-round-cut-stud-d-s021,Diamond Earrings | Round Cut Stud | D_S021,"Simply stunning, these round brilliant cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","Simply stunning, these round brilliant cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>Simply stunning, these round brilliant cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>Simply stunning, these round brilliant cut stud earrings offer you timeless elegance, a truly classic pair of earrings. Matches the diamond pendant perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
24,diamond-earrings-with-central-peal-d-s012,Diamond Earrings | With Central Peal | D_S012,"These stunning earrings feature a halo of round brilliant cut diamonds totaling 0.85ct and one central pearl in each, they look beautiful matching to the necklace. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","These stunning earrings feature a halo of round brilliant cut diamonds totaling 0.85ct and one central pearl in each, they look beautiful matching to the necklace. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","<p>These stunning earrings feature a halo of round brilliant cut diamonds totaling 0.85ct and one central pearl in each, they look beautiful matching to the necklace. Diamond Colour G-H Clarity SI. Please call for prices in Platinum<br></p>","<p>These stunning earrings feature a halo of round brilliant cut diamonds totaling 0.85ct and one central pearl in each, they look beautiful matching to the necklace. Diamond Color D-E Clarity VVS. Please call for prices in Platinum<br></p>"
31,diamond-necklace-brilliant-cut-ds004,Diamond Necklace | Brilliant Cut | DS004,This classic necklace comprises of 3.75ct of round brilliant cut diamonds set between bars in two rows that will compliment the neckline perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,This classic necklace comprises of 3.75ct of round brilliant cut diamonds set between bars in two rows that will compliment the neckline perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,This classic necklace comprises of 3.75ct of round brilliant cut diamonds set between bars in two rows that will compliment the neckline perfectly. Diamond Colour G-H Clarity SI. Please call for prices in Platinum.,This classic necklace comprises of 3.75ct of round brilliant cut diamonds set between bars in two rows that will compliment the neckline perfectly. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
32,diamond-necklace-classic-droplet-d-s010,Diamond Necklace | Classic Droplet | D_S010,"This stunning necklace features 1.85ct of round brilliant cut diamonds set in pear shaped links, creating a classic droplet look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","This stunning necklace features 1.85ct of round brilliant cut diamonds set in pear shaped links, creating a classic droplet look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","This stunning necklace features 1.85ct of round brilliant cut diamonds set in pear shaped links, creating a classic droplet look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","This stunning necklace features 1.85ct of round brilliant cut diamonds set in pear shaped links, creating a classic droplet look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
33,diamond-necklace-double-drop-d-s015,Diamond Necklace | Double Drop | D_S015,This stunning diamond set necklace featuring 1.20ct of diamonds compliments your neckline with a double drop. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This stunning diamond set necklace featuring 1.20ct of diamonds compliments your neckline with a double drop. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This stunning diamond set necklace featuring 1.20ct of diamonds compliments your neckline with a double drop. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This stunning diamond set necklace featuring 1.20ct of diamonds compliments your neckline with a double drop. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
34,diamond-necklace-double-row-d-s009,Diamond Necklace | Double Row | D_S009,This delightful double row of diamonds totaling 2.00ct offers a contemporary yet elegant look. Diamond Colour G-H Clarity SI. Please call for princes in Platinum,This delightful double row of diamonds totaling 2.00ct offers a contemporary yet elegant look. Diamond Color D-E Clarity VVS. Please call for princes in Platinum,This delightful double row of diamonds totaling 2.00ct offers a contemporary yet elegant look. Diamond Colour G-H Clarity SI. Please call for princes in Platinum,This delightful double row of diamonds totaling 2.00ct offers a contemporary yet elegant look. Diamond Color D-E Clarity VVS. Please call for princes in Platinum
35,diamond-necklace-half-diamond-set-ds027,Diamond Necklace | Half Diamond Set | DS027,A half diamond set necklace to give you a fuller look at any party. Graduating brilliant cut diamonds set with gold at the back. Diamond Clarity G-H SI. Please call for prices in Platinum.,A half diamond set necklace to give you a fuller look at any party. Graduating brilliant cut diamonds set with gold at the back. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.,A half diamond set necklace to give you a fuller look at any party. Graduating brilliant cut diamonds set with gold at the back. Diamond Clarity G-H SI. Please call for prices in Platinum.,A half diamond set necklace to give you a fuller look at any party. Graduating brilliant cut diamonds set with gold at the back. Diamond Color D-E Clarity VVS. Please call for prices in Platinum.
36,diamond-necklace-round-cut-ds008,Diamond Necklace | Round Cut | DS008,This necklace features 1.20ct of round brilliant cut diamonds set between bar links creating a minimal yet elegant look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This necklace features 1.20ct of round brilliant cut diamonds set between bar links creating a minimal yet elegant look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This necklace features 1.20ct of round brilliant cut diamonds set between bar links creating a minimal yet elegant look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This necklace features 1.20ct of round brilliant cut diamonds set between bar links creating a minimal yet elegant look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
37,diamond-necklace-tennis-necklace-d-s007,Diamond Necklace | Tennis Necklace | D_S007,This classic tennis necklace features of round brilliant cut diamonds graduating in size towards the centre giving a timeless look. We also stock matching bracelets. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic tennis necklace features of round brilliant cut diamonds graduating in size towards the centre giving a timeless look. We also stock matching bracelets. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic tennis necklace features of round brilliant cut diamonds graduating in size towards the centre giving a timeless look. We also stock matching bracelets. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic tennis necklace features of round brilliant cut diamonds graduating in size towards the centre giving a timeless look. We also stock matching bracelets. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
38,diamond-necklace-with-pearl-ds014,Diamond Necklace With Pearl | DS014,This classic take on a traditional droplet necklace features a total of 0.70ct of diamonds and a stunning central set Pearl. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic take on a traditional droplet necklace features a total of 0.70ct of diamonds and a stunning central set Pearl. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic take on a traditional droplet necklace features a total of 0.70ct of diamonds and a stunning central set Pearl. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic take on a traditional droplet necklace features a total of 0.70ct of diamonds and a stunning central set Pearl. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
39,diamond-pendant-emerald-cut-d-s025,Diamond Pendant | Emerald Cut | D_S025,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the emerald cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the emerald cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the emerald cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the emerald cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
40,diamond-pendant-pear-cut-d-s023,Diamond Pendant | Pear Cut | D_S023,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the pear cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the pear cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the pear cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the pear cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
41,diamond-pendant-princess-cut-d-s020,Diamond Pendant | Princess Cut | D_S020,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the princess cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the princess cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the princess cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the princess cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
42,diamond-pendant-round-brilliant-cut-ds003,Diamond Pendant | Round Brilliant Cut | DS003,"This modern pendant features 0.34ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching earrings. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","This modern pendant features 0.34ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching earrings. Diamond Color D-E Clarity VVS. Please call for prices in Platinum","This modern pendant features 0.34ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching earrings. Diamond Colour G-H Clarity SI. Please call for prices in Platinum","This modern pendant features 0.34ct of round brilliant cut diamonds in a flower arrangement, they look stunning with the matching earrings. Diamond Color D-E Clarity VVS. Please call for prices in Platinum"
43,diamond-pendant-round-cut-d-s019,Diamond Pendant | Round Cut | D_S019,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the round brilliant cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the round brilliant cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the round brilliant cut diamond. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic single stone pendant gives you a timeless piece of jewelry putting all emphasis on the round brilliant cut diamond. Diamond Color D-E Clarity VVS. Please call for prices in Platinum
44,diamond-pendant-trilogy-droplet-ds018,Diamond Pendant | Trilogy Droplet | DS018,This classic trilogy droplet pendant featuring a total diamond weight of 0.30ct gives you a timeless contemporary look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic trilogy droplet pendant featuring a total diamond weight of 0.30ct gives you a timeless contemporary look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,<p>This classic trilogy droplet pendant featuring a total diamond weight of 0.30ct gives you a timeless contemporary look. Diamond Colour G-H Clarity SI. Please call for prices in Platinum</p>,<p>This classic trilogy droplet pendant featuring a total diamond weight of 0.30ct gives you a timeless contemporary look. Diamond Color D-E Clarity VVS. Please call for prices in Platinum</p>
45,diamond-tennis-bracelet-d-s005,Diamond Tennis Bracelet | D_S005,This classic tennis bracelet consists of round brilliant cut diamonds creating a timeless and elegant look. We also stock the matching necklace. Diamond Colour G-H Clarity SI. Please call for prices in Platinum,This classic tennis bracelet consists of round brilliant cut diamonds creating a timeless and elegant look. We also stock the matching necklace. Diamond Color D-E Clarity VVS. Please call for prices in Platinum,<p>This classic tennis bracelet consists of round brilliant cut diamonds creating a timeless and elegant look. We also stock the matching necklace. Diamond Colour G-H Clarity SI. Please call for prices in Platinum</p>,<p>This classic tennis bracelet consists of round brilliant cut diamonds creating a timeless and elegant look. We also stock the matching necklace. Diamond Color D-E Clarity VVS. Please call for prices in Platinum</p>
46,intermittent-diamond-necklace-d-s011,Intermittent Diamond Necklace | D_S011,This Intermittent diamond set necklace creates an elegant look for any party girl. Diamond Quality G-H SI.,This Intermittent diamond set necklace creates an elegant look for any party girl. Diamond Quality G-H SI.,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This Intermittent diamond set necklace creates an elegant gook for any party girl. Diamond Quality G-H SI. Please call us for different diamond quality and weights. Please call for prices in Platinum&quot;}"" data-sheets-userformat=""{&quot;2&quot;:7107,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,14277081],&quot;9&quot;:1,&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;\&quot;PT Sans\&quot;, Arial, Verdana, sans-serif&quot;}"">This Intermittent diamond set necklace creates an elegant look for any party girl. Diamond Quality G-H SI.</span></p>","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;This Intermittent diamond set necklace creates an elegant gook for any party girl. Diamond Quality G-H SI. Please call us for different diamond quality and weights. Please call for prices in Platinum&quot;}"" data-sheets-userformat=""{&quot;2&quot;:7107,&quot;3&quot;:{&quot;1&quot;:0},&quot;4&quot;:[null,2,14277081],&quot;9&quot;:1,&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;\&quot;PT Sans\&quot;, Arial, Verdana, sans-serif&quot;}"">This Intermittent diamond set necklace creates an elegant look for any party girl. Diamond Quality G-H SI.</span></p>"
